id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
533659,Best View in Downtown 5 Star Luxury 1+1 w/office,1019968,Roman,,Waterfront Communities-The Island,43.63953,-79.38257,Entire home/apt,324,10,188,2024-08-21,1.27,1,142,13,STR-2011-FLKRVB
537679,NIce room with private bathroom,2586974,Yin,,Mimico (includes Humber Bay Shores),43.62452,-79.48793,Private room,,28,0,,,1,0,0,
543810,Spacious 1+1 Condo Downtown Toronto,2671905,R.,,Waterfront Communities-The Island,43.63942,-79.39216,Entire home/apt,,28,10,2015-08-16,0.07,1,0,0,
547777,A Beautiful Funky Toronto Apartment,2692759,Ayelet And Sean,,Palmerston-Little Italy,43.66051,-79.42741,Entire home/apt,,28,2,2013-08-05,0.01,1,0,0,
560148,"Cozy room, King Bed, Great Location",1027776,Willy,,Mount Pleasant West,43.69821,-79.39164,Private room,65,30,39,2019-09-15,0.27,2,365,0,
571429,Chic Upper Beach 3 Bedroom Beauty,377846,Nick & Nena,,East End-Danforth,43.68519,-79.29338,Entire home/apt,149,28,29,2021-10-09,0.20,18,248,0,
573892,Downtown Toronto Furnished Suite,2175675,Frank,,Waterfront Communities-The Island,43.64278,-79.37985,Entire home/apt,119,28,87,2024-08-31,0.59,4,338,4,
593324,Charming Victorian in Leslieville,2929774,Susan,,South Riverdale,43.66114,-79.34742,Entire home/apt,,28,7,2015-10-06,0.05,1,0,0,
602407,Large bedroom with private bathroom and shower,2980659,Nanou,,Woodbine Corridor,43.67774,-79.31352,Private room,84,28,39,2019-08-10,0.27,1,364,0,
613695,House in Little Italy,2741309,Sean,,Palmerston-Little Italy,43.65971,-79.41234,Entire home/apt,,28,0,,,1,0,0,STR-2210-HXWDVL
620965,Private Room in Artist Home by Transit,897683,Hajnal,,Birchcliffe-Cliffside,43.70396,-79.24856,Private room,45,28,30,2023-10-04,0.21,2,77,1,STR-2010-GCSXPF
